sub,hr,congruent,rsi
280429,0.3333333333333333,0,4
280430,0.42857142857142855,0,4
280433,0.5789473684210527,0,4
280435,0.47058823529411764,0,4
280436,0.2727272727272727,0,4
280437,0.1875,0,4
280438,0.3,0,4
280440,0.5,0,4
280444,0.25,0,4
280281,0.4166666666666667,1,5
280282,0.4117647058823529,1,5
280283,0.35294117647058826,1,5
280285,0.45454545454545453,1,5
280286,0.3333333333333333,1,5
280288,0.5384615384615384,1,5
280289,0.4375,1,5
280292,0.8333333333333334,1,5
280297,0.375,1,5
280298,0.15384615384615385,1,5
280299,0.26666666666666666,1,5
280300,0.42105263157894735,1,5
280301,0.375,1,5
280302,0.4,1,5
280303,0.3333333333333333,1,5
280304,0.4,1,5
280305,0.3888888888888889,1,5
280306,0.5384615384615384,1,5
280307,0.5454545454545454,1,5
280308,0.5714285714285714,1,5
280309,0.4,1,5
280310,0.75,1,5
280311,0.5,1,5
280312,0.38461538461538464,1,5
280313,0.3333333333333333,1,5
280314,0.3125,1,5
280315,0.21428571428571427,1,5
280316,0.29411764705882354,1,5
280317,0.35714285714285715,1,5
280318,0.42857142857142855,1,5
280320,0.5,1,5
280321,0.5555555555555556,1,5
280322,0.3333333333333333,1,5
280325,0.3125,1,5
280326,0.45,1,5
280327,0.4375,1,5
280328,0.46153846153846156,1,5
280329,0.5263157894736842,1,5
280330,0.5,1,5
